program_name,state,city,incentive_type,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,review_needed,program_links,extraction_source
Energy Efficient Home Improvement Credit,USA,Federal,Tax Credits,PRIMARY RESIDENCE; RENTER-OCCUPIED RESIDENCE (RENTERS MAY ALSO BE ABLE TO CLAIM CREDITS); SECOND HOME USED AS A RESIDENCE,"A federal tax credit for a portion of qualifying energy-efficient improvement expenses to a residence. The credit amount is a percentage of total improvement expenses in the year of installation, with specified limits that vary by year and by equipment type.","Eligible projects: Biomass stoves and boilers, Central air conditioners, water heaters, furnaces, boilers and heat pumps, Exterior doors, windows, skylights and insulation materials, Home energy audits | Credits apply to qualifying improvements to homes you use as a residence. Credits are not available for improvements made to homes that you do not use as a residence. | Administered by: Internal Revenue Service (IRS) [needs review: expiry unknown]",30%,Unknown,2026-05-15,Yes,https://www.irs.gov/credits-deductions/home-energy-tax-credits,llm
Residential Clean Energy Credit,USA,Federal,Tax Credits,PRIMARY RESIDENCE; RENTER-OCCUPIED RESIDENCE (RENTERS MAY ALSO BE ABLE TO CLAIM CREDITS); SECOND HOME USED AS A RESIDENCE,"A federal tax credit for a portion of qualifying residential clean energy property expenses, available as a percentage of total improvement expenses in the year of installation.","Eligible projects: Battery storage (beginning in 2023), Fuel cells, Geothermal power generation, Solar power generation, Solar water heaters, Wind power generation | You can claim the credit for the year when you make qualifying improvements. Credits are not available for improvements made to homes you do not use as a residence. | Administered by: Internal Revenue Service (IRS) [needs review: expiry unknown]",30%,Unknown,2026-05-15,Yes,https://www.irs.gov/credits-deductions/home-energy-tax-credits,llm
Energy Efficient Home Improvement Credit (Section 25C),USA,Federal,Tax Credits,EXISTING HOME (NOT A NEW HOME); MAIN HOME (PRIMARY RESIDENCE),"Federal tax credit for qualifying energy-efficient improvements and residential energy property installed in a taxpayer's main home placed in service on or after Jan. 1, 2023 and before Dec. 31, 2025. The credit covers a percentage of qualified expenses and is subject to annual and per-item limits.","Owner-occupied required | Eligible projects: Biomass stoves and boilers, Central air conditioners, Electric or natural gas heat pump water heaters, Electric or natural gas heat pumps, Electrical components supporting residential energy property (panelboards, sub-panelboards, branch circuits, feeders, 200 amps or more), Exterior doors (Energy Star), Exterior windows and skylights (Energy Star Most Efficient), Home energy audits (qualified auditor, written report), Insulation and air sealing materials or systems (IECC standards), Natural gas, propane, or oil furnaces and hot water boilers, Natural gas, propane, or oil water heaters | Home must be located in the United States and be an existing primary residence (not a new home). Landlords or properties used solely for business purposes are ineligible. For partial business use, credit is prorated (full credit if business use up to 20%; otherwise based on nonbusiness share). Building envelope components must have expected lifespan of at least 5 years. Some items must meet specific efficiency standards (Energy Star, Energy Star Most Efficient, CEE highest efficiency tier, IECC). Labor costs qualify only for certain items (residential energy property and heat pumps/biomass items); labor for building envelope components does not qualify. Starting in 2025, qualifying property must be produced by a qualified manufacturer and taxpayer must report the Qualified Manufacturer Identification Number (QMID) for the item. The credit is nonrefundable and rebates/subsidies may reduce qualified expenses per federal tax rules. | Administered by: Internal Revenue Service (IRS)","Up to $3,200",2025-12-31,2026-05-15,No,https://www.irs.gov/credits-deductions/energy-efficient-home-improvement-credit,llm
Residential Clean Energy Credit (25D),USA,Federal,Tax Credits,BATTERY STORAGE TECHNOLOGY (ELIGIBLE BEGINNING IN 2023; MUST HAVE CAPACITY OF AT LEAST 3 KILOWATT HOURS); FUEL CELLS; GEOTHERMAL HEAT PUMPS (MUST MEET ENERGY STAR REQUIREMENTS); SOLAR ELECTRIC PANELS; SOLAR ROOFING TILES AND SOLAR SHINGLES; SOLAR WATER HEATERS (MUST BE CERTIFIED BY SRCC OR COMPARABLE STATE-ENDORSED ENTITY); WIND TURBINES,"A federal tax credit equal to 30% of the cost of new, qualified residential clean energy property installed in the taxpayer's home. The credit covers eligible technologies such as solar, wind, geothermal, fuel cells, and qualifying battery storage, subject to specific equipment certification and capacity requirements. File Form 5695 to claim the credit.","Eligible projects: Energy saving improvements to a main home, Installation of new qualified clean energy property for a home, Onsite preparation, assembly or original installation labor for the property, Piping or wiring to connect the property to the home | Applies to improvements to your main home located in the United States; you may claim it whether you own or rent the main home. Cannot be claimed by a landlord or property owner who does not live in the home. Certain improvements to a second home may qualify (fuel cell property is not eligible for second homes or homes outside the U.S.). Business-use rules: if the home is used solely for business, you cannot claim the credit; if partly for business, credit is limited based on share of nonbusiness use. Used (previously owned) clean energy property is not eligible. Subsidies, rebates, and other financial incentives may need to be subtracted from qualified expenses as purchase-price adjustments; public utility subsidies for buying or installing clean energy property are subtracted. | Administered by: Internal Revenue Service (IRS)",30%,2025-12-31,2026-05-15,No,https://www.irs.gov/credits-deductions/residential-clean-energy-credit,llm
Alternative Fuel Vehicle Refueling Property Credit (Section 30C),USA,Federal,Tax Credits,BIDIRECTIONAL CHARGING EQUIPMENT; CHARGING STATIONS FOR 2- AND 3-WHEELED ELECTRIC VEHICLES (FOR USE ON PUBLIC ROADS); ELECTRIC VEHICLE CHARGING EQUIPMENT; FUEL DISPENSERS; PROPERTY USED TO STORE OR DISPENSE CLEAN-BURNING FUEL; STORAGE PROPERTY,Federal tax credit for installation of qualified alternative fuel vehicle refueling or recharging property (including electric vehicle charging equipment) placed in service in eligible locations; modified and extended by the Inflation Reduction Act.,"Eligible projects: business or investment use: depreciable property, installation of refueling or recharging property, personal use: installed on property used as a main home, property placed in service during the tax year | Property must: be placed in service during the tax year; have original use begin with the taxpayer; be used primarily in the U.S. and U.S. territories; be in an eligible census tract (low-income community census tract or non-urban census tract) as determined by GEOID lists (Appendix A for 2015 tracts and Appendix B for 2020 tracts); if for business or investment use, be depreciable property; if for personal use, be installed on property used as a main home. Tax-exempt and government entities can claim the credit through elective pay. Credit basis must be reduced by amount of credit; credit subject to recapture if property stops qualifying within 3 full years from placed-in-service date. | Administered by: Internal Revenue Service","For property placed in service at a taxpayer's main home from Jan 1, 2023 to June 30, 2026: 30% of cost, up to $1,000 per item (each charging port, fuel dispenser, or storage property). For qualified property placed in service at a business or organization from Jan 1, 2023 to June 30, 2026: 6% of cost, up to $100,000 per item. Businesses and organizations that meet prevailing wage and apprenticeship requirements are eligible for a 30% credit with the same $100,000 per-item limit.",2026-06-30,2026-05-15,No,https://www.irs.gov/credits-deductions/alternative-fuel-vehicle-refueling-property-credit,llm
New Clean Vehicle Credit (Section 30D),USA,Federal,Tax Credits,FUEL CELL ELECTRIC VEHICLE (FCV); NEW PLUG-IN ELECTRIC VEHICLE (EV); OTHER PASSENGER VEHICLES; PICKUP TRUCKS; SPORT UTILITY VEHICLES (SUVS); VANS,"Federal tax credit (IRC Sec. 30D) available for qualified new plug-in electric vehicles and fuel cell electric vehicles placed in service in 2023 or after, subject to vehicle, buyer income, MSRP, assembly, battery and seller-reporting requirements. Credit amounts vary by date placed in service and by meeting critical mineral and battery component requirements, up to $7,500.","Income-qualified | Eligible projects: purchase of a new vehicle, vehicle placed in service (take possession) | To qualify: buy it for your own use (not for resale); use it primarily in the U.S.; modified adjusted gross income (AGI) may not exceed $300,000 for married filing jointly or surviving spouse, $225,000 for head of household, $150,000 for all other filers (use AGI from year of delivery or the year before, whichever is less). Vehicle requirements: battery capacity at least 7 kilowatt hours; gross vehicle weight rating less than 14,000 pounds; final assembly in North America; made by a qualified manufacturer; meet critical mineral and battery component requirements (for vehicles placed in service Apr 18, 2023 and after). Sale requirements: buy the vehicle new; seller must report required information to purchaser and the IRS (seller must provide a time-of-sale report to purchaser and report to IRS) or the vehicle will not be eligible. MSRP caps: $80,000 for vans, SUVs and pickup trucks; $55,000 for other vehicles. If not transferred, the credit is nonrefundable (cannot exceed tax liability). | Administered by: Internal Revenue Service (IRS)","For vehicles placed in service Jan 1 to Apr 17, 2023: $2,500 base amount plus $417 for a vehicle with at least 7 kilowatt hours of battery capacity plus $417 for each kilowatt hour of battery capacity beyond 5 kilowatt hours (up to $7,500). For vehicles placed in service Apr 18, 2023 and after: $3,750 if the vehicle meets the critical minerals requirement only, $3,750 if the vehicle meets the battery components requirement only, $7,500 if the vehicle meets both requirements. A vehicle that doesn’t meet either requirement is not eligible for a credit.",2025-09-30,2026-05-15,No,https://www.irs.gov/credits-deductions/credits-for-new-clean-vehicles-purchased-in-2023-or-after,llm
Used Clean Vehicle Credit (Section 25E),USA,Federal,Tax Credits,CAR; FUEL CELL VEHICLE (FCV); LIGHT TRUCK; PLUG-IN ELECTRIC VEHICLE (EV),"For vehicles acquired on or before Sept. 30, 2025, individuals who buy a qualified used plug-in electric vehicle (EV) or fuel cell vehicle (FCV) from a licensed dealer for $25,000 or less may be eligible for a used clean vehicle tax credit equal to 30% of the sale price up to $4,000. The credit may be transferred to the dealer at the time of sale or claimed on your tax return; if not transferred, the credit is nonrefundable and cannot be carried forward.","Income-qualified | Eligible projects: purchase from a licensed dealer, purchase of a previously owned qualified plug-in EV or FCV | Must be an individual who bought the vehicle for use (not for resale); not the original owner; not claimed as a dependent on another person's return; not have claimed another used clean vehicle credit in the 3 years prior to the purchase date. Modified adjusted gross income (AGI) limits: $150,000 for married filing jointly or a surviving spouse; $112,500 for heads of households; $75,000 for all other filers (use AGI from year of delivery or the year before, whichever is less). Vehicle requirements: sale price $25,000 or less (sale price includes dealer-imposed costs/fees not required by law and excludes separately listed taxes/fees required by law); model year at least 2 years earlier than the calendar year of purchase; not have already been transferred after Aug. 16, 2022, to a qualified buyer; gross vehicle weight rating under 14,000 pounds; battery capacity of at least 7 kilowatt hours; for use primarily in the United States. Sale must be from a dealer (licensed to sell motor vehicles) who provides required information and registers/reports to the IRS when buyer takes possession. Buyers can transfer the credit to the dealer at time of sale. Previously-Owned Clean Vehicle Credit is not available for vehicles acquired after Sept. 30, 2025; if vehicle is placed in service after that date, acquisition must have occurred on or before Sept. 30, 2025 (can be demonstrated by a binding written contract and payment on or before Sept. 30, 2025). Purchases made before 2023 don't qualify. | Administered by: Internal Revenue Service (IRS)","30% (up to $4,000)",2025-09-30,2026-05-15,No,https://www.irs.gov/credits-deductions/used-clean-vehicle-credit,llm
Weatherization Assistance Program,USA,Federal,Grants,HOMES,The U.S. Department of Energy (DOE) Weatherization Assistance Program (WAP) reduces energy costs for low-income households by increasing the energy efficiency of their homes and ensuring health and safety. The program provides weatherization services using DOE funds and has delivered services to millions of families since 1976.,"Income-qualified | Eligible projects: energy efficiency upgrades, weatherization improvements | Program reduces energy costs for low-income households by increasing the energy efficiency of their homes. | Administered by: U.S. Department of Energy (DOE) [needs review: expiry unknown]","Provides weatherization services to approximately 32,000 homes every year using DOE funds; households save on average $372 or more every year (national evaluation).",Unknown,2026-05-15,Yes,https://www.energy.gov/scep/wap/weatherization-assistance-program,llm
Hazard Mitigation Grant Program (HMGP),USA,Federal,Grants,BUSINESSES; COMMUNITIES; DWELLINGS; HOMES; INDIVIDUAL RESIDENCES; INFRASTRUCTURE; UTILITIES,"Provides funding to state, local, tribal and territorial governments to develop hazard mitigation plans and rebuild in ways that reduce or mitigate future disaster losses in their communities.","Eligible projects: acquiring hazard-prone homes and businesses to enable owners to relocate, building safe rooms for communities and individual residences, creating and adopting hazard mitigation plans, developing, adopting, evaluating, enhancing and enforcing building codes and standards, elevating structures above known flood levels, implementing drainage improvement projects, installing permanent barriers to prevent floodwater entering structures (e.g., levees, floodwalls, floodproofing), reconstructing damaged dwellings on elevated foundations, retrofitting buildings to resist floods, earthquakes, wind, wildfires and other natural hazards, stabilizing slopes to prevent structural losses, upgrading utilities and infrastructure to enhance resistance to natural hazards | Funding becomes available following a Presidentially declared disaster. Homeowners and businesses are not eligible to apply directly for HMGP grants; local communities may apply on their behalf. State, local, tribal and territorial governments must develop and adopt hazard mitigation plans to receive HMGP funding. | Administered by: FEMA [needs review: amount unspecified; expiry unknown]",See program page,Unknown,2026-05-15,Yes,https://www.fema.gov/grants/mitigation/hazard-mitigation,llm
Building Resilient Infrastructure and Communities (BRIC),USA,Federal,Grants,All,Building Resilient Infrastructure and Communities (BRIC),Administered by: FEMA [needs review: incentive_type unresolved; amount unspecified; expiry unknown; low confidence (0.60)],See program page,Unknown,2026-05-15,Yes,https://www.fema.gov/grants/mitigation/hazard-mitigation,llm
