program_name,state,city,incentive_type,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,review_needed,program_links
Florida Renewable Energy Production Tax Credit (Statute 220.193) - Commercial,FL,Statewide,Tax Credits,COMMERCIAL,Corporate income tax credit on qualifying renewable energy generation in Florida. Periodically funded; subject to annual cap.,"Eligible projects: biomass, hydrogen, solar_pv, wind | Available to corporations operating qualifying generation facilities in Florida. Subject to annual statutory cap. | Administered by: Florida Department of Revenue [needs review: low confidence (0.65)]",$0.01 per unit,Ongoing,2026-05-04,Yes,https://floridarevenue.com/
Peoples Gas High-Efficiency Natural Gas Equipment Rebate,FL,Peoples Gas territory,Rebates,CONDO; SFH; TOWNHOUSE,Rebates for installing qualifying high-efficiency natural-gas equipment.,Owner-occupied required | Eligible projects: natural_gas_appliance | Residential Peoples Gas customers; equipment must be installed by a licensed contractor. | Administered by: Peoples Gas (TECO Energy) [needs review: low confidence (0.66)],Up to $475,Ongoing,2026-05-04,Yes,https://www.peoplesgas.com/residential/save-energy-and-money/
Duke Energy Florida Attic Insulation Rebate,FL,Duke Energy Florida territory,Rebates,CONDO; SFH; TOWNHOUSE,Rebate for upgrading attic insulation in qualifying Duke Energy Florida residences.,Owner-occupied required | Eligible projects: insulation | Existing insulation must be at or below R-19; upgrade must reach R-30 or higher. | Administered by: Duke Energy Florida [needs review: low confidence (0.65)],Up to $200,Ongoing,2026-05-04,Yes,https://www.duke-energy.com/home/products/save-energy-and-money
Duke Energy Florida Smart $aver Window AC / Smart Thermostat,FL,Duke Energy Florida territory,Rebates,CONDO; SFH; TOWNHOUSE,Combination instant rebate + bill credit for smart thermostat enrollment in Duke Energy Florida residential service.,Eligible projects: smart_thermostat | Customer must remain enrolled in Duke's demand-response program. | Administered by: Duke Energy Florida [needs review: low confidence (0.66)],Up to $125,Ongoing,2026-05-04,Yes,https://www.duke-energy.com/home/products/smart-thermostat
Duke Energy Florida EV Charger Rebate,FL,Duke Energy Florida territory,Rebates,CONDO; SFH; TOWNHOUSE,Park & Plug residential EV charger program with installation rebate and time-of-use bill discount.,Owner-occupied required | Eligible projects: ev_charger | Customer must enroll in Duke's residential EV time-of-use rate. | Administered by: Duke Energy Florida [needs review: low confidence (0.60)],"Up to $1,133",Ongoing,2026-05-04,Yes,https://www.duke-energy.com/home/products/electric-vehicles/charger-prep-credit
Tampa Bay Habitat for Humanity Critical Home Repair,FL,Hillsborough County,Grants,CONDO; SFH; TOWNHOUSE,Habitat for Humanity-coordinated critical home repair program serving Hillsborough and surrounding counties.,"Owner-occupied required | Income-qualified (≤ 80% AMI) | Eligible projects: accessibility, rehab, roof | <=80% AMI; primary residence in Habitat's service area. | Administered by: Habitat for Humanity of Hillsborough County [needs review: low confidence (0.60)]","Up to $10,000",Ongoing,2026-05-04,Yes,https://www.habitathillsborough.org/repairs/
Rebuilding Together Tampa Bay Home Repair,FL,Hillsborough County,Grants,SFH; TOWNHOUSE,"Volunteer-driven home repair non-profit serving low-income elderly, disabled, and veteran homeowners across Tampa Bay.","Owner-occupied required | Income-qualified (≤ 60% AMI) | Eligible projects: accessibility, roof, weatherization | <=60% AMI; primary residence; demonstrated need. | Administered by: Rebuilding Together Tampa Bay [needs review: low confidence (0.55)]","Up to $10,000",Ongoing,2026-05-04,Yes,https://www.rebuildingtogethertb.org/
City of Tampa Roof Replacement Program,FL,Tampa,Grants,SFH; TOWNHOUSE,Targeted roof-replacement grant tied to City of Tampa's owner-occupied rehab pipeline.,Owner-occupied required | Income-qualified (≤ 80% AMI) | Eligible projects: roof | Primary residence in Tampa city limits; <=80% AMI; documented roof failure. | Administered by: City of Tampa Housing & Community Development [needs review: low confidence (0.66)],"Up to $18,000",Ongoing,2026-05-04,Yes,https://www.tampa.gov/housing-and-community-development/programs/owner-occupied-rehabilitation
City of Tampa Mobility Modification Program,FL,Tampa,Grants,CONDO; SFH; TOWNHOUSE,Targeted accessibility modifications for elderly or disabled Tampa residents to age in place.,Owner-occupied required | Income-qualified (≤ 80% AMI) | Eligible projects: accessibility | Primary residence in Tampa city limits; <=80% AMI; documented disability or elderly status. | Administered by: City of Tampa Housing & Community Development [needs review: low confidence (0.60)],"Up to $10,000",Ongoing,2026-05-04,Yes,https://www.tampa.gov/housing-and-community-development
City of Tampa Lead-Based Paint Hazard Reduction,FL,Tampa,Grants,SFH; TOWNHOUSE,HUD-funded program reducing lead-paint hazards for income-qualified Tampa families with children under 6.,Owner-occupied required | Income-qualified (≤ 80% AMI) | Eligible projects: lead_paint_remediation | Property built before 1978; child under 6 or pregnant resident; <=80% AMI. | Administered by: City of Tampa Housing & Community Development [needs review: low confidence (0.62)],"Up to $25,000",Ongoing,2026-05-04,Yes,https://www.tampa.gov/housing-and-community-development
