program_name,state,city,incentive_type,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,review_needed,program_links
Florida Property Tax Exemption for Solar / Renewable Energy (Statute 196.175),FL,Statewide,Tax Credits,COMMERCIAL; CONDO; MULTIFAMILY; SFH; TOWNHOUSE,Renewable energy source devices installed on real property are exempt from being considered when determining the assessed value for property taxes.,"Owner-occupied required | Eligible projects: biomass, geothermal, solar_pv, solar_water_heating, wind | Applies to renewable energy source devices installed on or after January 1, 2013, for residential property and on or after January 1, 2018, for non-residential. Filed with the local property appraiser. | Administered by: Florida Department of Revenue",100%,Ongoing,2026-05-04,No,https://floridarevenue.com/property/Pages/Taxpayers_Exemptions.aspx
Florida Sales Tax Exemption on Solar Energy Systems (Statute 212.08(7)(hh)),FL,Statewide,Tax Credits,COMMERCIAL; CONDO; MULTIFAMILY; SFH; TOWNHOUSE,Sales of solar energy systems and components are exempt from Florida sales and use tax.,"Eligible projects: solar_pv, solar_water_heating | Applies to equipment certified by the Florida Solar Energy Center (FSEC). Buyer submits exemption certificate to seller. | Administered by: Florida Department of Revenue",100%,Ongoing,2026-05-04,No,https://floridarevenue.com/taxes/taxesfees/Pages/sales_tax.aspx
My Safe Florida Home Hurricane Mitigation Grant,FL,Statewide,Grants,SFH,State-funded hurricane mitigation grant for owner-occupied single-family homes in Florida. Provides a free wind mitigation inspection and a matching grant for approved improvements.,"Owner-occupied required | Eligible projects: impact_doors, impact_windows, opening_protection, roof_strengthening, secondary_water_resistance | Home must be insured for less than $700,000, located in Florida, and be the homeowner's primary residence. Application windows open periodically; check mysafeflhome.com for the current opening. | Administered by: Florida Department of Financial Services","Up to $10,000",Ongoing,2026-05-04,No,https://mysafeflhome.com/
Florida State Housing Initiatives Partnership (SHIP) Program,FL,Statewide,Grants,CONDO; SFH; TOWNHOUSE,Florida-funded program distributing housing dollars to all 67 counties and entitlement cities. Each jurisdiction adopts a local housing assistance plan (LHAP) defining eligible activities and award limits.,"Owner-occupied required | Income-qualified (≤ 140% AMI) | Eligible projects: disaster_recovery, down_payment, rehab, weatherization | Income-qualified households (very low / low / moderate, up to 140% AMI). Specific uses (down payment, owner-occupied rehab, disaster recovery, etc.) and award caps set by each county's LHAP. | Administered by: Florida Housing Finance Corporation","Up to $75,000",Ongoing,2026-05-04,No,https://www.floridahousing.org/programs/special-programs/ship---state-housing-initiatives-partnership-program
Florida Hometown Heroes Housing Program,FL,Statewide,Finance Solutions,CONDO; SFH; TOWNHOUSE,Down-payment and closing-cost assistance for income-qualified Florida workforce homebuyers (first-time or repeat) earning up to 150% of the local AMI.,"Owner-occupied required | Income-qualified (≤ 150% AMI) | Eligible projects: closing_costs, down_payment | Borrower must be employed full-time by a Florida-based employer, occupy the home as primary residence, and complete approved homebuyer education. Funded as a second mortgage that is repaid only on sale, refinance, transfer, or no-longer-primary-residence event. | Administered by: Florida Housing Finance Corporation","Up to $35,000",Ongoing,2026-05-04,No,https://www.floridahousing.org/programs/homebuyer-overview-page/hometown-heroes
Florida Assist (FL Assist) Down-Payment Assistance,FL,Statewide,Finance Solutions,CONDO; SFH; TOWNHOUSE,"0%, deferred-payment second mortgage paired with Florida Housing first mortgage products for income-qualified first-time homebuyers.","Owner-occupied required | Income-qualified | Eligible projects: closing_costs, down_payment | Used in conjunction with a Florida Housing first mortgage. Repayable on sale, refinance, transfer, or when the home is no longer the buyer's primary residence. | Administered by: Florida Housing Finance Corporation","Up to $10,000",Ongoing,2026-05-04,No,https://www.floridahousing.org/programs/homebuyer-overview-page/down-payment-assistance
Florida HFA Preferred and HFA Advantage First Mortgage,FL,Statewide,Finance Solutions,CONDO; SFH; TOWNHOUSE,"Conventional, FHA, VA, and USDA first mortgages offered through participating lenders, paired with FL Assist or Florida Hometown Heroes down-payment assistance.",Owner-occupied required | Income-qualified | Eligible projects: home_purchase | Income and purchase-price limits vary by county. Borrower must complete a Florida Housing-approved homebuyer education course. | Administered by: Florida Housing Finance Corporation,Below-market 30-year fixed-rate first mortgage paired with up to 5% in down-payment assistance.,Ongoing,2026-05-04,No,https://www.floridahousing.org/programs/homebuyer-overview-page
Florida Solar and CHP Sales Tax Exemption (Statute 212.08(7)(ccc)),FL,Statewide,Tax Credits,COMMERCIAL; CONDO; MULTIFAMILY; SFH; TOWNHOUSE,Statewide sales tax exemption for solar energy and CHP equipment.,"Eligible projects: chp, solar_pv, solar_water_heating | Equipment must be FSEC-certified. | Administered by: Florida Department of Revenue",100%,Ongoing,2026-05-04,No,https://floridarevenue.com/taxes/taxesfees/Pages/sales_tax.aspx
Florida Net Metering for Customer-Owned Renewable Generation,FL,Statewide,Grants,COMMERCIAL; CONDO; MULTIFAMILY; SFH; TOWNHOUSE,"Florida Public Service Commission rule requiring all IOUs (TECO, Duke, FPL, Gulf Power) to interconnect customer-owned renewable systems and credit excess generation.","Owner-occupied required | Eligible projects: battery_storage, solar_pv, wind | System size up to 2 MW. Tier 1 (<=10 kW) has streamlined interconnection. Net-metering compensation rate is being phased down after 2026; current customers grandfathered. | Administered by: Florida Public Service Commission",100%,Ongoing,2026-05-04,No,https://www.psc.state.fl.us/
Florida Resilient SRF (Wastewater / Stormwater Resilience Loans),FL,Statewide,Investments,ALL,Florida Department of Environmental Protection State Revolving Fund loans for resilient water infrastructure.,"Eligible projects: stormwater, water_resilience | Eligible applicants are units of local government. Indirect benefit to property owners through utility-rate moderation. | Administered by: Florida Department of Environmental Protection","Up to $10,000,000",Ongoing,2026-05-04,No,https://floridadep.gov/wra/srf
