program_name,state,city,incentive_type,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,review_needed,program_links,extraction_source
High Efficiency Electric Home Rebate Act (HEEHRA),USA,Federal,Rebates,HOUSEHOLDS (LOW- AND MODERATE-INCOME); RESIDENTIAL,Direct rebate program providing funds for low- and moderate-income households to install efficient electric appliances and related electrical/insulation upgrades.,"Income-qualified | Eligible projects: electric clothes dryer, electric stove, heat pump for space heating, heat pump water heater, install new efficient electric appliances, insulation, ventilation, and sealing, upgraded breaker box, upgraded electrical wiring [needs review: expiry unknown]","$4.5 billion in direct rebates for low- and moderate-income households. Examples: rebate covering full cost of heat pump installation for space heating up to $8,000; up to $1,750 for a heat pump water heater; $840 for an electric stove; $840 for an electric clothes dryer; up to $4,000 for upgraded breaker box; $2,500 for upgraded electrical wiring; $1,600 for insulation, ventilation, and sealing. For moderate-income households same rebates available to cover 50% of costs.",Unknown,2026-05-11,Yes,https://www.rewiringamerica.org/policy/inflation-reduction-act,llm
"Home Energy Performance-Based, Whole-House Rebates",USA,Federal,Rebates,RESIDENTIAL,"Funding for performance-based, whole-house efficiency and electrification rebates.",Eligible projects: whole-house efficiency and electrification retrofits [needs review: expiry unknown],"$4.5 billion in efficiency and electrification rebates under the Home Energy Performance-Based, Whole-House Rebates.",Unknown,2026-05-11,Yes,https://www.rewiringamerica.org/policy/inflation-reduction-act,llm
Energy Efficient Home Improvement Credit (Section 25C),USA,Federal,Tax Credits,RESIDENTIAL,"Tax deduction/credit allowing households to deduct a portion of costs for home efficiency and electrification upgrades, including equipment and installation/labor costs.","Eligible projects: heat pump water heaters, heat pumps (space heating and cooling), insulation, other home efficiency upgrades (eligible measures), upgrading breaker boxes [needs review: expiry unknown]","30% (up to $2,000)",Unknown,2026-05-11,Yes,https://www.rewiringamerica.org/policy/inflation-reduction-act,llm
New Energy Efficient Home Credit (Section 45L),USA,Federal,Tax Credits,EXISTING HOMES UNDERGOING DEEP RETROFIT; MANUFACTURED HOMES; MULTIFAMILY HOMES; NEW SINGLE-FAMILY HOMES,Tax credit to incentivize developers to build homes meeting DOE Zero Energy Ready Homes standard.,"Eligible projects: construction of DOE Zero Energy Ready Homes, deep retrofit of existing homes [needs review: expiry unknown]","$5,000",Unknown,2026-05-11,Yes,https://www.rewiringamerica.org/policy/inflation-reduction-act,llm
Commercial Buildings Energy Efficient Credit (Section 179D),USA,Federal,Tax Credits,COMMERCIAL BUILDINGS,Expanded tax credit for commercial buildings based on square footage and energy reduction achieved.,Eligible projects: energy efficiency improvements achieving 25-50% reductions in energy use [needs review: expiry unknown],Offers $2.50 to $5.00 per square foot for businesses achieving 25 to 50 percent reductions in energy use over existing building performance standards.,Unknown,2026-05-11,Yes,https://www.rewiringamerica.org/policy/inflation-reduction-act,llm
Production Tax Credit for Clean Energy Manufacturing,USA,Federal,Tax Credits,All,Production tax credit funding to accelerate domestic manufacturing of clean energy components and critical minerals processing.,"Eligible projects: battery manufacturing, critical minerals processing, manufacturing of solar panels, manufacturing of wind turbines [needs review: expiry unknown]","$30 billion available as a production tax credit to accelerate U.S. manufacturing of solar panels, wind turbines, batteries and critical minerals processing in the U.S.",Unknown,2026-05-11,Yes,https://www.rewiringamerica.org/policy/inflation-reduction-act,llm
Investment Tax Credit for Clean Energy Manufacturing Facilities,USA,Federal,Tax Credits,All,Investment tax credit support for construction of domestic clean energy manufacturing facilities.,"Eligible projects: construction of manufacturing facilities for solar panels, wind turbines, batteries, critical minerals processing [needs review: expiry unknown]","$10 billion allocated as an investment tax credit for building new facilities that manufacture solar panels, wind turbines, batteries and related technologies.",Unknown,2026-05-11,Yes,https://www.rewiringamerica.org/policy/inflation-reduction-act,llm
Enhanced Use of the Defense Production Act Funding,USA,Federal,Investments,All,Funding under the Defense Production Act to support domestic clean technology and critical minerals processing.,"Eligible projects: domestic manufacturing of heat pumps, processing of critical minerals [needs review: expiry unknown]",Includes $500 million to bolster the domestic manufacturing of heat pumps and the processing of critical minerals.,Unknown,2026-05-11,Yes,https://www.rewiringamerica.org/policy/inflation-reduction-act,llm
Greenhouse Gas Reduction Fund,USA,Federal,Grants,All,"Fund to provide large-scale funding for greenhouse gas reduction projects, with a portion targeted to disadvantaged communities.","Eligible projects: deployment of zero-emission technologies, other greenhouse gas pollution reduction projects | $15 billion targeted to low-income and disadvantaged communities (explicitly stated). [needs review: expiry unknown]","Provides $27 billion in funding, of which $15 billion will enable low-income and disadvantaged communities to benefit from zero-emission technologies and other greenhouse gas pollution reductions.",Unknown,2026-05-11,Yes,https://www.rewiringamerica.org/policy/inflation-reduction-act,llm
Methane Fee,USA,Federal,Grants,All,A fee on methane emissions intended to penalize emitters; listed as part of the Inflation Reduction Act provisions.,Eligible projects: emitters of methane [needs review: incentive_type unresolved; low confidence (0.60)],"$1,500 per unit",2026,2026-05-11,Yes,https://www.rewiringamerica.org/policy/inflation-reduction-act,llm
